"abi","cab","id","name","street","zip","country:id"
"03111","41330","base.0311141330","UNIONE DI BANCHE ITALIANE SOCIETA' PER AZIONI (IN FORMA ABBREVIATA UBI BANCA)","VIA MAGGIO 1648, 22/B-22/C","70022","base.it"
"02008","41330","base.0200841330","UNICREDITO ITALIANO - S.P.A.","VIA BARI, 43  ANG.  VIA PIAVE","70022","base.it"
"02002","41330","base.0200241330","BANCA COMMERCIALE ITALIANA","VIA MANTOVA, 88","70022","base.it"
"05584","41330","base.0558441330","BANCA POPOLARE DI MILANO - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA","PIAZZA ZANARDELLI, 26","70022","base.it"
"03077","41330","base.0307741330","BANC0 AMBROSIANO VENETO SUD S.P.A.","PIAZZA DELLA REPUBBLICA, 1/4","70022","base.it"
"01010","41333","base.0101041333","BANCO DI NAPOLI S.P.A.","PIAZZA DELLA REPUBBLICA, 1/4","70022","base.it"
"01010","41332","base.0101041332","BANCO DI NAPOLI S.P.A.","VIA MATERA, 2/D","70022","base.it"
"03456","41330","base.0345641330","BANCA APULIA SOCIETA' PER AZIONI","VIA REGINA MARGHERITA, 39","70022","base.it"
"05387","41330","base.0538741330","BPER BANCA S.P.A.","VIALE REGINA MARGHERITA, 31","70022","base.it"
"03140","41330","base.0314041330","BANCA DEL SALENTO - CREDITO POPOLARE SALENTINO - BANCA 121 SPA (OVVERO BANCA 121-SALENTO OVVERO BANCA 121)","VIA ZOLA  ANG.  VIA REGINA MARGHERITA","70022","base.it"
"06265","41330","base.0626541330","CARIPUGLIA S.P.A.","VIA MAGGIO 1648, 22/B","70022","base.it"
"03067","41330","base.0306741330","BANCA CARIME S.P.A.","VIA MAGGIO 1648, 22/B","70022","base.it"
"01030","41330","base.0103041330","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","CORSO VITTORIO EMANUELE, 83","70022","base.it"
"01030","41331","base.0103041331","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","VIA ZOLA  ANG.  VIA REGINA MARGHERITA","70022","base.it"
"01030","41332","base.0103041332","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","VIALE REGINA MARGHERITA, 12","70022","base.it"
"01005","41330","base.0100541330","BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.)","VIA MASTRANGELO, 17","70022","base.it"
"02008","41331","base.0200841331","UNICREDIT, SOCIETA' PER AZIONI","VIA BARI, 43  ANG.  VIA PIAVE","70022","base.it"
"02008","41332","base.0200841332","UNICREDIT, SOCIETA' PER AZIONI","VIALE MARTIRI DEL 1799, 101","70022","base.it"
"03133","41330","base.0313341330","CREDITO ITALIANO S.P.A.","VIA BARI, 43  ANG.  VIA PIAVE","70022","base.it"
"08844","41330","base.0884441330","BANCA DI CREDITO COOPERATIVO DI SANTERAMO IN COLLE - SOCIETA' COOPERATIVA","VIA QUINTINO SELLA, 35","70022","base.it"
"03002","41331","base.0300241331","UNICREDIT BANCA DI ROMA S.P.A.","VIA BARI, 43  ANG.  VIA PIAVE","70022","base.it"
"03208","41500","base.0320841500","BANCA DI LUCANIA","VIA C. D'ALONZO, 9/A-B-C","70024","base.it"
"05424","41500","base.0542441500","BANCA POPOLARE DI BARI - SOCIETA' COOPERATIVA PER AZIONI","CORSO ALDO MORO, 76","70024","base.it"
"05332","41500","base.0533241500","NUOVA BANCA MEDITERRANEA S.P.A. (IN FORMA ABBREVIATA BANCA MEDITERRANEA S.P.A.)","VIA C. D'ALONZO, 9/A-B-C","70024","base.it"
"05398","41500","base.0539841500","BANCA POPOLARE DEL MATERANO S.P.A.","VIA VENEZIA, 30","70024","base.it"
"05787","41500","base.0578741500","BANCA MERIDIANA S.P.A.","VIA CANALE D'ALONZO, 9/A","70024","base.it"
"05385","41500","base.0538541500","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","PIAZZA CAVOUR, 20","70024","base.it"
"05385","41501","base.0538541501","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA LUDOVICO MAIORANA, 42/44","70024","base.it"
"05385","41502","base.0538541502","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA EMILIO GUIDA, 194","70024","base.it"
"05385","41503","base.0538541503","BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA PER AZIONI","VIA PASTEUR  ANG.  VIA PIERLUIGI NERVI","70024","base.it"
"03207","41500","base.0320741500","CAPITALIA, SOCIETA' PER AZIONI","VIA TRIPOLI, 76","70024","base.it"
"05256","41500","base.0525641500","BANCA POPOLARE DEL MEZZOGIORNO - SOCIETA' PER AZIONI","VIA VENEZIA, 30","70024","base.it"
"02005","41500","base.0200541500","BANCO DI ROMA","VIA TRIPOLI, 76/78","70024","base.it"
